Date,Eletricity
2012/2/1,6100
2012/2/2,6312
2012/2/3,6240
2012/2/4,4293
2012/2/5,3346
2012/2/6,6390
2012/2/7,6170
2012/2/8,6720
2012/2/9,6850
2012/2/10,7000
2012/2/11,2123
2012/2/12,1344
2012/2/13,5680
2012/2/14,5910
2012/2/15,5950
2012/2/16,6000
2012/2/17,5681
2012/2/18,3743
2012/2/19,660
2012/2/20,5530
2012/2/21,5070
2012/2/22,4810
2012/2/23,4880
2012/2/24,4790
2012/2/25,4078
2012/2/26,1965
2012/2/27,4601
2012/2/28,4531
2012/2/29,4263
2012/3/1,4471
2012/3/2,4750
2012/3/3,3963
2012/3/4,1509
2012/3/5,4090
2012/3/6,4001
2012/3/7,3737
2012/3/8,3203
2012/3/9,3312
2012/3/10,935
2012/3/11,2756
2012/3/12,3230
2012/3/13,2702
2012/3/14,2567
2012/3/15,571
2012/3/16,2307
2012/3/17,2230
2012/3/18,1945
2012/3/19,2220
2012/3/20,2041
2012/3/21,2060
2012/3/22,2000
2012/3/23,1821
2012/3/24,1800
2012/3/25,1745
2012/3/26,1023
2012/3/27,2045
2012/3/28,2132
2012/3/29,2345
2012/3/30,2267
