Date,Eletricity
2012/2/1,6200
2012/2/2,6440
2012/2/3,6440
2012/2/4,4293
2012/2/5,2146
2012/2/6,6490
2012/2/7,6320
2012/2/8,6820
2012/2/9,6960
2012/2/10,7200
2012/2/11,4123
2012/2/12,2444
2012/2/13,6880
2012/2/14,7210
2012/2/15,7300
2012/2/16,7360
2012/2/17,7060
2012/2/18,5123
2012/2/19,2044
2012/2/20,6920
2012/2/21,7070
2012/2/22,6910
2012/2/23,7080
2012/2/24,7190
2012/2/25,6534
2012/2/26,4532
2012/2/27,7310
2012/2/28,7330
2012/2/29,7130
2012/3/1,7370
2012/3/2,7250
2012/3/3,4833
2012/3/4,2416
2012/3/5,7090
2012/3/6,7110
2012/3/7,7020
2012/3/8,6670
2012/3/9,6790
2012/3/10,3425
2012/3/11,3256
2012/3/12,6730
2012/3/13,7280
2012/3/14,7190
2012/3/15,7260
2012/3/16,7340
2012/3/17,7231
2012/3/18,7023
2012/3/19,7310
2012/3/20,7230
2012/3/21,7260
2012/3/22,7190
2012/3/23,7130
2012/3/24,5683
2012/3/25,2343
2012/3/26,7480
2012/3/27,7210
2012/3/28,7280
2012/3/29,7280
2012/3/30,7150
